Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
16-OCT-2019,11464.95,11481.05,11411.1,11464,533468525,18266.06
15-OCT-2019,11360.85,11462.35,11342.1,11428.3,527396180,17041.55
14-OCT-2019,11335.9,11420.45,11290.05,11341.15,587579191,17499.48
11-OCT-2019,11257.7,11362.9,11189.4,11305.05,737795150,22511.39
10-OCT-2019,11280.5,11293.35,11208.55,11234.55,562017945,19234.31
09-OCT-2019,11152.95,11321.6,11090.15,11313.3,741148639,20961.54
07-OCT-2019,11196.2,11233.85,11112.65,11126.4,733198763,18641.37
04-OCT-2019,11388.45,11400.3,11158.35,11174.75,928524450,22470.76
03-OCT-2019,11322.25,11370.4,11257.35,11314,1017479514,21658.38
01-OCT-2019,11515.4,11554.2,11247.9,11359.9,1305415159,28972.72
30-SEP-2019,11491.15,11508.25,11390.8,11474.45,756848686,23748.07
27-SEP-2019,11556.35,11593.6,11499.75,11512.4,650017280,19036.94
26-SEP-2019,11469.85,11610.85,11466.35,11571.2,844465614,30707.84
25-SEP-2019,11564.85,11564.95,11416.1,11440.2,629054640,25266.24
24-SEP-2019,11590.7,11655.05,11539.2,11588.2,651722255,26930.07
23-SEP-2019,11542.7,11694.85,11471.35,11600.2,882826741,40005.01
20-SEP-2019,10746.8,11381.9,10691,11274.2,1356767450,54081.53
19-SEP-2019,10845.2,10845.2,10670.25,10704.8,642599183,16642.83
18-SEP-2019,10872.8,10885.15,10804.85,10840.65,519155072,16784.43
17-SEP-2019,11000.1,11000.1,10796.5,10817.6,482013044,17721.93
16-SEP-2019,10994.85,11052.7,10968.2,11003.5,434449776,15786.17
13-SEP-2019,10986.8,11084.45,10945.75,11075.9,624305151,18012.76
12-SEP-2019,11058.3,11081.75,10964.95,10982.8,551436050,17510.17
11-SEP-2019,11028.5,11054.8,11011.65,11035.7,687140326,19550.59
09-SEP-2019,10936.7,11028.85,10889.8,11003.05,412471067,14762.07
06-SEP-2019,10883.8,10957.05,10867.45,10946.2,497214445,18167.78
05-SEP-2019,10860.95,10920.1,10816,10847.9,595699267,18279.88
04-SEP-2019,10790.4,10858.75,10746.35,10844.65,508784352,19195.1
03-SEP-2019,10960.95,10967.5,10772.7,10797.9,483038985,16595.6
30-AUG-2019,10987.8,11042.6,10874.8,11023.25,628154431,21057.31
29-AUG-2019,10996.05,11021.1,10922.4,10948.3,649876160,20127.77
28-AUG-2019,11101.3,11129.65,10987.65,11046.1,549954696,16739.43
27-AUG-2019,11106.55,11141.75,11049.5,11105.35,685551267,27413.16
26-AUG-2019,11000.3,11070.3,10756.55,11057.85,684141923,22375.99
23-AUG-2019,10699.6,10862.55,10637.15,10829.35,667079625,20983.75
22-AUG-2019,10905.3,10908.25,10718.3,10741.35,668193449,18764.38
21-AUG-2019,11018.15,11034.2,10906.65,10918.7,557867906,16747.99
20-AUG-2019,11063.9,11076.3,10985.3,11017,444715679,16915.96
19-AUG-2019,11094.8,11146.9,11037.85,11053.9,369493161,14120.35
16-AUG-2019,11043.65,11068.65,10924.3,11047.8,470909918,19281.91
14-AUG-2019,11003.25,11078.15,10935.6,11029.4,511541716,19712.81
13-AUG-2019,11139.4,11145.9,10901.6,10925.85,624634647,24790.67
09-AUG-2019,11087.9,11181.45,11062.8,11109.65,538063563,21092.05
08-AUG-2019,10899.2,11058.05,10842.95,11032.45,482471622,20667.6
07-AUG-2019,10958.1,10975.65,10835.9,10855.5,548465787,21228.28
06-AUG-2019,10815.4,11018.55,10813.8,10948.25,517891491,21676.4
05-AUG-2019,10895.8,10895.8,10782.6,10862.6,506556609,20824.1
02-AUG-2019,10930.3,11080.15,10848.95,10997.35,547416246,23972.04
01-AUG-2019,11060.2,11076.75,10881,10980,499918953,21048.32
31-JUL-2019,11034.05,11145.3,10999.4,11118,536694278,23681.22
30-JUL-2019,11213.7,11267.45,11072.65,11085.4,479059399,20545.71
29-JUL-2019,11307.5,11310.95,11152.4,11189.2,482862376,18705.92
26-JUL-2019,11247.45,11307.6,11210.05,11284.3,522670420,20350.38
25-JUL-2019,11290.4,11361.4,11239.35,11252.15,553676897,24329.21
24-JUL-2019,11322.45,11359.75,11229.8,11271.3,413202832,18353.13
23-JUL-2019,11372.25,11398.15,11302.8,11331.05,458931191,19199.32
22-JUL-2019,11392.85,11398.15,11301.25,11346.2,516044335,19304.23
19-JUL-2019,11627.95,11640.35,11399.3,11419.25,446049198,17326.4
18-JUL-2019,11675.6,11677.15,11582.4,11596.9,498258158,16684.03
17-JUL-2019,11670.75,11706.65,11651.15,11687.5,464827734,15250.5
16-JUL-2019,11596.65,11670.05,11573.95,11662.6,480156167,15967.91
15-JUL-2019,11614.75,11618.4,11532.3,11588.35,368788782,15835.99
12-JUL-2019,11601.15,11639.55,11538.6,11552.5,359421182,16947.57
11-JUL-2019,11561.45,11599,11519.5,11582.9,317257578,14586.2
10-JUL-2019,11536.15,11593.7,11475.65,11498.9,337571014,16098.53
09-JUL-2019,11531.6,11582.55,11461,11555.9,442520253,21577.95
08-JUL-2019,11770.4,11771.9,11523.3,11558.6,464029444,19146.25
05-JUL-2019,11964.75,11981.75,11797.9,11811.15,530720039,18871.99
04-JUL-2019,11928.8,11969.25,11923.65,11946.75,333595172,14758.87
03-JUL-2019,11932.15,11945.2,11887.05,11916.75,340527508,14290.33
02-JUL-2019,11890.3,11917.45,11814.7,11910.3,363197036,13615.94
01-JUL-2019,11839.9,11884.65,11830.8,11865.6,278415889,12874.96
28-JUN-2019,11861.15,11871.7,11775.5,11788.85,303888701,15191.9
27-JUN-2019,11860.85,11911.15,11821.05,11841.55,480169350,23300.3
26-JUN-2019,11768.15,11871.85,11757.55,11847.55,327885018,14650.89
25-JUN-2019,11681,11814.4,11651,11796.45,300476353,13822.83
24-JUN-2019,11725.8,11754,11670.2,11699.65,277620788,12631.38
21-JUN-2019,11827.6,11827.95,11705.1,11724.1,468430388,23346.13
20-JUN-2019,11653.65,11843.5,11635.05,11831.75,442016954,18839.11
19-JUN-2019,11744.45,11802.5,11625.1,11691.45,446933027,18722.71
18-JUN-2019,11677.05,11727.2,11641.15,11691.5,365525622,16120.69
17-JUN-2019,11844,11844.05,11657.75,11672.15,295528399,13851.67
14-JUN-2019,11910.1,11911.85,11797.7,11823.3,390294634,16226.57
13-JUN-2019,11873.9,11931.35,11817.05,11914.05,447901993,18680.91
12-JUN-2019,11962.45,11962.45,11866.35,11906.2,283718253,14120.17
11-JUN-2019,11959.85,12000.35,11904.35,11965.6,332181958,15392.28
10-JUN-2019,11934.9,11975.05,11871.75,11922.7,303329445,13125.41
07-JUN-2019,11865.2,11897.5,11769.5,11870.65,302455910,14939.4
06-JUN-2019,12039.8,12039.8,11830.25,11843.75,415206942,21144.77
04-JUN-2019,12052.65,12095.2,12005.85,12021.65,289221904,15308.28
03-JUN-2019,11953.75,12103.05,11920.1,12088.55,315296955,17451.36
31-MAY-2019,11999.8,12039.25,11829.45,11922.8,438879129,22789
30-MAY-2019,11865.3,11968.55,11859.4,11945.9,421199867,20261.85
29-MAY-2019,11905.8,11931.9,11836.8,11861.1,318068673,15985.92
28-MAY-2019,11958.35,11958.55,11864.9,11928.75,598308334,28833.54
27-MAY-2019,11855.5,11957.15,11812.4,11924.75,348356214,17735.36
24-MAY-2019,11748,11859,11658.1,11844.1,374637415,20028.49
23-MAY-2019,11901.3,12041.15,11614.5,11657.05,569030654,31180.08
22-MAY-2019,11727.95,11784.8,11682.4,11737.9,355870667,19582.41
21-MAY-2019,11863.65,11883.55,11682.8,11709.1,381038129,20324.67
20-MAY-2019,11651.9,11845.2,11591.7,11828.25,452096261,25223.78
17-MAY-2019,11261.9,11426.15,11259.85,11407.15,412109200,20177.63
16-MAY-2019,11180.35,11281.55,11143.35,11257.1,350734572,15629.57
15-MAY-2019,11271.7,11286.8,11136.95,11157,414174258,17931.75
14-MAY-2019,11151.65,11294.75,11108.3,11222.05,398122725,19906.38
13-MAY-2019,11258.7,11300.2,11125.6,11148.2,357586433,16722.91
10-MAY-2019,11314.15,11345.8,11251.05,11278.9,387323416,18085.19
09-MAY-2019,11322.4,11357.6,11255.05,11301.8,373028059,17602.86
08-MAY-2019,11478.7,11479.1,11346.95,11359.45,372826025,17440.01
07-MAY-2019,11651.5,11657.05,11484.45,11497.9,337495624,16632.84
06-MAY-2019,11605.8,11632.55,11571.35,11598.25,299046480,14703.42
03-MAY-2019,11722.6,11770.9,11699.35,11712.25,305519934,15156.32
02-MAY-2019,11725.55,11789.3,11699.55,11724.75,380278045,17790.06
30-APR-2019,11748.75,11756.25,11655.9,11748.15,532630874,23324.98
26-APR-2019,11683.75,11762.9,11661.75,11754.65,333483764,18098.83
25-APR-2019,11735.7,11796.75,11624.3,11641.8,604360395,28254.3
24-APR-2019,11601.5,11740.85,11578.85,11726.15,335196513,17046.66
23-APR-2019,11612.95,11645.95,11564.8,11575.95,272544486,14500.53
22-APR-2019,11727.05,11727.05,11583.95,11594.45,260356055,13754.12
18-APR-2019,11856.15,11856.15,11738.5,11752.8,339653709,18271.27
16-APR-2019,11736.2,11810.95,11731.55,11787.15,354315040,17585.48
15-APR-2019,11667,11704.6,11648.25,11690.35,289996075,15635.79
12-APR-2019,11612.85,11657.35,11578.8,11643.45,246006184,13598.61
11-APR-2019,11592.55,11606.7,11550.55,11596.7,279775726,14332.2
10-APR-2019,11646.85,11680.05,11571.75,11584.3,359941110,22258.46
09-APR-2019,11612.05,11683.9,11569.7,11671.95,300467538,15984.39
08-APR-2019,11704.35,11710.3,11549.1,11604.5,260932608,14203.96
05-APR-2019,11638.4,11689.65,11609.5,11665.95,266665797,15000.35
04-APR-2019,11660.2,11662.55,11559.2,11598,349029830,19713.01
03-APR-2019,11735.3,11761,11629.15,11643.95,365760070,19050.95
02-APR-2019,11711.55,11729.35,11655.85,11713.2,386131413,18673.7
01-APR-2019,11665.2,11738.1,11644.75,11669.15,379572660,18977.99
29-MAR-2019,11625.45,11630.35,11570.15,11623.9,416276981,20515.25
